mouse_num,level,score,freq_played
5,-1,0,10000
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,-1,0,14286
5,0,0,14286
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,2,10000
5,0,0,10000
5,0,2,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,2,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,2,10000
5,0,2,10000
5,0,2,10000
5,0,0,10000
5,0,0,10000
5,0,2,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,2,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,2,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,2,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,2,10000
5,0,0,10000
5,0,0,10000
5,0,2,10000
5,0,2,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,2,10000
5,0,0,10000
5,0,2,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,0,10000
5,0,2,10000
